hospital_drug_id,generic_name_cn,generic_name_en,trade_name_cn,strength,dosage_form,route,atc_code,rxnorm_rxcui,insurance_code,manufacturer,in_formulary,in_stock,high_alert,antibiotic_level,narcotic_class,restricted_dept,alternatives
H-DEMO-00001,华法林钠,warfarin,华法林,2.5mg,片剂,PO,B01AA03,11289,8690000000001,扬子江药业,1,1,1,0,0,,H-DEMO-00003
H-DEMO-00002,华法林钠,warfarin,华法林,3mg,片剂,PO,B01AA03,11289,8690000000002,恒瑞医药,1,1,1,0,0,,H-DEMO-00003
H-DEMO-00003,依诺肝素,enoxaparin,克赛,0.4ml:4000IU,注射液,SC,B01AB05,67108,8690000000003,石药集团,1,1,1,0,0,,
H-DEMO-00004,依诺肝素,enoxaparin,克赛,0.6ml:6000IU,注射液,SC,B01AB05,67108,8690000000004,中国生物,1,1,1,0,0,,
H-DEMO-00005,肝素,heparin,肝素钠,12500IU,注射液,IV,B01AB01,5224,8690000000005,拜耳,1,1,1,0,0,,H-DEMO-00003
H-DEMO-00006,阿司匹林,aspirin,拜阿司匹林,100mg,肠溶片,PO,B01AC06,1191,8690000000006,辉瑞,1,1,0,0,0,,
H-DEMO-00007,阿司匹林,aspirin,巴米尔,0.5g,泡腾片,PO,B01AC06,1191,8690000000007,诺华,1,1,0,0,0,,
H-DEMO-00008,氯吡格雷,clopidogrel,波立维,75mg,片剂,PO,B01AC04,32968,8690000000008,赛诺菲,1,1,0,0,0,,H-DEMO-00006
H-DEMO-00009,替格瑞洛,ticagrelor,倍林达,90mg,片剂,PO,B01AC24,1116632,8690000000009,AstraZeneca,1,1,1,0,0,,
H-DEMO-00010,利伐沙班,rivaroxaban,拜瑞妥,20mg,片剂,PO,B01AF01,1114195,8690000000010,罗氏,0,1,1,0,0,,H-DEMO-00001
H-DEMO-00011,达比加群,dabigatran,泰毕全,110mg,胶囊,PO,B01AE07,1037042,8690000000011,齐鲁制药,1,1,1,0,0,心内科,
